Date,Open,High,Low,Close,Adj Close,Volume,negative,positive,neutral,compound
2001-04-20,0.445179,0.457679,0.439286,0.447143,0.383365,693403200.0,0.136,0.132,0.732,0.0258
2001-04-23,0.434643,0.446429,0.428571,0.433036,0.37127,541525600.0,0.137,0.066,0.796,-0.9493
2001-04-24,0.434464,0.441964,0.419821,0.429107,0.367901,377137600.0,0.077,0.182,0.741,0.6249
2001-04-25,0.432321,0.443929,0.420893,0.441429,0.378466,330780800.0,0.07,0.117,0.813,0.765
2001-04-26,0.449464,0.466071,0.440714,0.440893,0.378006,799696800.0,0.043,0.058,0.899,0.34
2001-04-27,0.45,0.469464,0.441964,0.467857,0.401124,453012000.0,0.061,0.1,0.839,0.6808
2001-05-01,0.45375,0.473214,0.45,0.463036,0.396991,427252000.0,0.181,0.153,0.667,-0.8316
2001-05-02,0.470357,0.476786,0.46,0.474821,0.407095,368524800.0,0.173,0.146,0.681,-0.8271
2001-05-03,0.46375,0.46875,0.441607,0.445714,0.382139,301543200.0,0.027,0.206,0.767,0.9571
2001-05-04,0.432857,0.461607,0.427857,0.459821,0.394235,281052800.0,0.042,0.156,0.802,0.9427
2001-05-07,0.4575,0.46,0.443571,0.445714,0.382139,276550400.0,0.187,0.106,0.707,-0.9601
2001-05-08,0.452679,0.454464,0.427679,0.43875,0.376169,315436800.0,0.152,0.097,0.751,-0.9231
2001-05-09,0.431071,0.438393,0.422679,0.428214,0.367136,324889600.0,0.132,0.155,0.712,0.3818
2001-05-10,0.432321,0.4375,0.409821,0.410714,0.352132,288976800.0,0.106,0.116,0.778,-0.1027
2001-05-11,0.410893,0.419464,0.406429,0.408036,0.349836,203044800.0,0.115,0.081,0.804,-0.8519
2001-05-14,0.40875,0.422857,0.40625,0.415893,0.356572,309220800.0,0.102,0.156,0.742,0.9468
2001-05-15,0.417321,0.455357,0.411429,0.413929,0.354888,237025600.0,0.073,0.129,0.798,0.743
2001-05-16,0.415357,0.4375,0.408036,0.430357,0.368973,322330400.0,0.115,0.03,0.855,-0.7351
2001-05-17,0.432679,0.434464,0.415179,0.420536,0.360553,332119200.0,0.115,0.124,0.761,-0.0516
2001-05-18,0.417143,0.422143,0.412857,0.420179,0.360247,159051200.0,0.073,0.079,0.848,0.296
2001-05-22,0.428571,0.430893,0.417857,0.419643,0.359787,412916000.0,0.164,0.127,0.709,-0.9274
2001-05-25,0.414286,0.415893,0.401786,0.406429,0.348458,158743200.0,0.0,0.565,0.435,0.0772
2001-05-29,0.398571,0.401786,0.371607,0.383393,0.328708,515989600.0,0.124,0.125,0.751,0.4767
2001-05-30,0.370714,0.370714,0.344643,0.353214,0.302833,777078400.0,0.115,0.111,0.774,-0.7506
2001-06-01,0.359464,0.376607,0.356786,0.373036,0.319828,456075200.0,0.327,0.0,0.673,-0.5267
2001-06-04,0.376429,0.376964,0.365357,0.368929,0.316307,281920800.0,0.0,0.0,1.0,0.0
2001-06-05,0.371429,0.376786,0.363393,0.373929,0.320594,471794400.0,0.0,0.756,0.244,0.4767
2001-06-07,0.369821,0.3875,0.365179,0.386786,0.331617,325180800.0,0.0,0.0,1.0,0.0
2001-06-20,0.357143,0.390179,0.356786,0.386964,0.331769,431620000.0,0.145,0.093,0.762,-0.9966
2001-06-21,0.384821,0.410714,0.376786,0.401607,0.344324,341331200.0,0.174,0.062,0.763,-0.959
2001-06-22,0.401429,0.410714,0.388571,0.3975,0.340803,286025600.0,0.16,0.096,0.744,-0.9719
2001-06-25,0.401786,0.428571,0.400893,0.428393,0.367289,439549600.0,0.078,0.149,0.773,0.9779
2001-06-26,0.416786,0.424464,0.410893,0.424107,0.363615,272781600.0,0.078,0.153,0.769,0.97
2001-06-27,0.425536,0.428571,0.401786,0.416786,0.357338,374130400.0,0.115,0.088,0.797,-0.9524
2001-06-28,0.411607,0.426964,0.409643,0.420357,0.360399,348409600.0,0.102,0.077,0.821,-0.8625
2001-06-29,0.4225,0.448214,0.414286,0.415179,0.35596,515390400.0,0.169,0.07,0.761,-0.9908
2001-07-02,0.422143,0.432679,0.413214,0.426786,0.365911,230048000.0,0.144,0.178,0.678,0.2023
2001-07-03,0.419821,0.431786,0.419643,0.425714,0.364992,112543200.0,0.265,0.111,0.624,-0.872
2001-07-05,0.421429,0.424464,0.410893,0.414107,0.355041,152292000.0,0.247,0.067,0.686,-0.9153
2001-07-06,0.406429,0.41,0.387857,0.393393,0.337281,302920800.0,0.0,0.0,1.0,0.0
2001-07-09,0.394464,0.410714,0.387143,0.405357,0.347539,337467200.0,0.111,0.133,0.756,0.6597
2001-07-10,0.409821,0.411964,0.372143,0.3775,0.323655,395270400.0,0.17,0.086,0.744,-0.9849
2001-07-11,0.375536,0.402679,0.375,0.4025,0.345089,470506400.0,0.138,0.062,0.8,-0.9928
2001-07-12,0.416071,0.443036,0.416071,0.435,0.372954,614801600.0,0.151,0.06,0.789,-0.9628
2001-07-13,0.430893,0.446607,0.425714,0.44375,0.380456,454742400.0,0.131,0.091,0.779,-0.9901
2001-07-16,0.444286,0.448214,0.426964,0.427857,0.36683,278667200.0,0.113,0.095,0.792,-0.9799
2001-07-17,0.428214,0.450357,0.410893,0.448214,0.384283,647830400.0,0.173,0.097,0.73,-0.999
2001-07-18,0.388929,0.406786,0.364643,0.37125,0.318297,1137012800.0,0.118,0.089,0.793,-0.9878
2001-07-19,0.379107,0.3825,0.352679,0.356429,0.30559,861140000.0,0.131,0.097,0.772,-0.9949
2001-07-20,0.351786,0.358214,0.348036,0.356786,0.305896,444584000.0,0.128,0.105,0.767,-0.9646
2001-07-23,0.35875,0.366071,0.348393,0.348929,0.29916,241360000.0,0.141,0.069,0.79,-0.997
2001-07-24,0.34625,0.355714,0.334464,0.340893,0.29227,348376000.0,0.169,0.081,0.75,-0.9991
2001-07-25,0.341429,0.344643,0.320893,0.329821,0.282777,443878400.0,0.159,0.071,0.77,-0.9987
2001-07-26,0.33,0.335714,0.31875,0.331964,0.284614,369140800.0,0.191,0.084,0.725,-0.9997
2001-07-27,0.334821,0.34375,0.330357,0.338571,0.290279,334135200.0,0.146,0.048,0.807,-0.9993
2001-07-30,0.341429,0.345714,0.330536,0.338036,0.28982,243359200.0,0.135,0.084,0.781,-0.9924
2001-07-31,0.344107,0.346786,0.330536,0.335536,0.287677,235026400.0,0.147,0.085,0.769,-0.9989
2001-08-01,0.339464,0.353214,0.338393,0.340357,0.29181,304136000.0,0.15,0.062,0.788,-0.999
2001-08-02,0.350893,0.354821,0.343929,0.353929,0.303446,252089600.0,0.147,0.089,0.764,-0.9989
2001-08-03,0.355179,0.355357,0.339286,0.348214,0.298547,186054400.0,0.148,0.095,0.757,-0.9966
2001-08-06,0.34,0.351071,0.339286,0.341607,0.292882,99652000.0,0.114,0.055,0.831,-0.9975
2001-08-07,0.345179,0.35125,0.338929,0.34375,0.294719,168548800.0,0.155,0.068,0.777,-0.9993
2001-08-08,0.343929,0.351786,0.331071,0.3375,0.289361,276169600.0,0.161,0.092,0.746,-0.9991
2001-08-09,0.338571,0.341964,0.334286,0.340179,0.291658,200664800.0,0.13,0.08,0.789,-0.9989
2001-08-10,0.34,0.345,0.331964,0.339643,0.291198,186961600.0,0.141,0.099,0.76,-0.9984
2001-08-13,0.341071,0.345179,0.335,0.340893,0.29227,147996800.0,0.139,0.073,0.788,-0.9989
2001-08-14,0.342857,0.345714,0.333393,0.334464,0.286758,228950400.0,0.121,0.099,0.78,-0.9887
2001-08-15,0.335,0.338214,0.325,0.329286,0.282318,289279200.0,0.155,0.087,0.757,-0.999
2001-08-16,0.32625,0.334821,0.320893,0.333036,0.285533,288092000.0,0.122,0.093,0.786,-0.9951
